name,firstdet,firstdetmag,jump,lastnondet,texp,gap,Npre_g,Npre_r,Npost_g,Npost_r,slope_peak_r,slope_peak_g,slope_peak_r10,slope_peak_g10,peakr,peakre,peakg,peakge,peakrmjd,peakgmjd,redshift,peakr_app,peakg_app,mean_EW,AV_NaD,colorexcess,Avhost,peakrhost,peakghost,peakr_apphost,peakg_apphost,magnitude_change_after,magnitude_change_before,panstarrs_r_mag,panstarrs_r_mag_err,pipeline_ineffciency_host,pipeline_ineffciency_targetbyhost
ZTF23aanymcl,60110.27,-16.93,0.31,60103.36,60106.815,7.0,0.0,0.0,24.0,44.0,-0.01,-0.02,-0.01,-0.02,-17.24,0.0,-17.1,0.0,60110.32,60110.27,0.028,18.273105992699453,18.41310599269945,,,-0.2613814069163702,0.0,-17.24,-17.1,18.27,18.41,0.4,,21.562627981043665,0.00779112081421173,0.99452224317111,0.9804891179514456
ZTF23aanzmoz,60108.39,-16.83,0.17,60103.32,60105.855,5.0,4.0,4.0,39.0,31.0,-0.0,-0.0,-0.01,-0.04,-17.0,0.0,-16.95,0.0,60126.34,60117.39,0.02987,18.656507423403177,18.706507423403178,,,-0.1809014967917113,0.0,-17.0,-16.95,18.66,18.71,0.3,,21.106941948841616,0.005390764544050711,0.9871095031463474,0.9515092248010634
ZTF23aaomzth,60113.18,-15.55,1.01,60097.19,60105.185,16.0,0.0,30.0,5.0,58.0,-0.01,-0.05,-0.08,,-16.56,0.0,-14.96,0.0,60120.18,60220.47,0.01382,17.396719246895106,18.996719246895104,,,,0.0,-16.56,-14.96,17.4,19.0,0.4,,21.087582328513914,0.004554642333432459,0.9992349934877983,0.9874682677021465
ZTF23aaphnyz,60118.24,-17.12,0.95,60117.36,60117.8,1.0,23.0,18.0,147.0,155.0,-0.0,-0.01,-0.0,-0.03,-18.07,0.0,-18.12,0.0,60128.31,60126.24,0.03084,17.657464091875845,17.607464091875844,,,-0.2641941354891774,0.0,-18.07,-18.12,17.66,17.61,0.3,,21.176906454360616,0.005489576958906015,0.9986247744514136,0.9848540662211139
ZTF23aaqknaw,60128.41,-16.48,0.16,60120.46,60124.435,8.0,0.0,1.0,35.0,40.0,-0.0,-0.04,-0.01,-0.03,-16.64,0.0,-16.33,0.0,60133.41,60134.41,0.018,17.89741197560509,18.20741197560509,,,0.2711664483981713,0.85,-17.37,-17.33,17.17,17.2,0.3,,20.40659129951791,0.0026034093539334772,0.9976417836994658,0.9544582217365029
ZTF23aaqtckr,60120.27,-15.83,0.79,60120.19,60120.23,0.0,6.0,5.0,6.0,32.0,-0.0,-0.0,-0.0,-0.02,-16.62,0.0,-16.39,0.0,60139.27,60135.27,0.0298,19.031299900424305,19.261299900424305,,,-0.1498630090711454,0.0,-16.62,-16.39,19.03,19.26,0.1,,25.05231161497168,0.15225435794409578,0.9705279710866722,0.9990690593117934
ZTF23aaqwpio,60135.25,-15.26,0.35,60123.26,60129.255000000005,12.0,11.0,18.0,16.0,17.0,-0.0,-0.0,-0.05,,-15.61,0.0,-15.54,0.0,60145.28,60142.25,0.0233,19.496479924513196,19.566479924513196,,,-0.2630127300611977,0.0,-15.61,-15.54,19.5,19.57,0.5,,21.07268814346935,0.0037493723299630364,0.920340888309694,0.8804702377091392
ZTF23aasbvab,60140.34,-16.25,0.55,60139.46,60139.9,1.0,31.0,52.0,322.0,361.0,-0.0,-0.0,-0.01,-0.04,-16.8,0.0,-16.77,0.0,60154.44,60148.34,0.021,18.077050902073534,18.107050902073535,,,-0.1806015634623386,0.0,-16.8,-16.77,18.08,18.11,0.4,,22.671002261390566,0.01682937435432296,0.9964703099707208,0.9954088012215173
ZTF23aasrcyv,60143.44,-15.86,0.92,60141.47,60142.455,2.0,2.0,6.0,95.0,44.0,-0.0,-0.0,0.0,-0.03,-16.78,0.0,-16.89,0.0,60189.44,60154.44,0.02032,18.0244630435338,17.9144630435338,,,-0.3985711079913723,0.0,-16.78,-16.89,18.02,17.91,0.2,0.1,21.491200915953932,0.005625105775910938,0.9968632220059984,0.983947264997929
ZTF23aasyvbf,60144.46,-16.08,-0.15,60140.41,60142.435,4.0,0.0,0.0,68.0,11.0,-0.01,-0.0,-0.0,-0.03,-15.93,0.0,-16.0,0.0,60159.39,60144.46,0.02,18.83947181322599,18.76947181322599,,,-0.5315930804439882,0.0,-15.93,-16.0,18.84,18.77,0.1,,23.45310862784779,0.033641430679434224,0.9806651796012392,0.9955085348269576
ZTF23aaxadel,60168.38,-16.34,0.54,60165.47,60166.925,3.0,13.0,25.0,154.0,155.0,-0.0,-0.0,0.0,-0.03,-16.88,0.0,-16.76,0.0,60190.45,60175.38,0.0245,18.337480112475124,18.45748011247512,,,-0.2073593510066342,0.0,-16.88,-16.76,18.34,18.46,0.1,,21.125590589362062,0.004197647809120868,0.9936732416165922,0.9662722458632017
ZTF23aazprcc,60181.14,-16.73,0.29,60179.15,60180.145,2.0,0.0,7.0,3.0,87.0,-0.0,-0.05,-0.01,,-17.02,0.0,-15.51,0.0,60218.14,60260.49,0.02228,17.98761658925648,19.49761658925648,,,0.0636662533680783,0.21,-17.2,-15.76,17.81,19.25,0.3,,22.211260592936696,0.012729971908013215,0.9971122387856053,0.9930634642585083
ZTF23abadrow,60178.44,-15.85,0.8,60173.39,60175.915,5.0,0.0,29.0,28.0,12.0,-0.0,-0.02,-0.02,-0.01,-16.65,0.0,-16.21,0.0,60267.44,60183.43,0.02819,18.878097976734196,19.318097976734194,,,-0.2061913886310865,0.0,-16.65,-16.21,18.88,19.32,0.9,0.2,20.690795231939543,0.003549237811270394,0.9789452974851222,0.9056750394791993
ZTF23abascqa,60187.44,-17.14,0.82,60185.43,60186.435,2.0,3.0,7.0,47.0,38.0,-0.0,-0.0,-0.01,-0.05,-17.96,0.0,-18.06,0.0,60205.44,60197.49,0.01987,16.795098757287136,16.695098757287138,,,-0.182576627004018,0.0,-17.96,-18.06,16.8,16.7,0.6,,21.829120725917512,0.010810921117271666,0.9998024822415368,0.9971912959528794
ZTF23abaxtlq,60192.37,-15.61,0.76,60191.43,60191.9,1.0,5.0,11.0,75.0,67.0,-0.0,-0.0,-0.0,-0.03,-16.37,0.0,-16.37,0.0,60205.43,60200.37,0.01347,17.53043981704162,17.53043981704162,,,-0.2672251587113758,0.0,-16.37,-16.37,17.53,17.53,0.3,,20.206471030989572,0.0026619917227298246,0.9989665022882611,0.9619298950060023
ZTF23abbsxzs,60195.38,-16.8,0.27,60191.48,60193.43,4.0,0.0,2.0,11.0,28.0,-0.0,-0.03,-0.02,-0.02,-17.07,0.0,-16.59,0.0,60199.49,60195.38,0.013,16.75254304386001,17.23254304386001,,,0.1825914779509604,0.57,-17.56,-17.26,16.27,16.56,0.5,,23.551995788398678,0.041880363021623304,0.9998205265933156,0.999610718234987
ZTF23abbtkrv,60194.51,-16.33,0.72,60191.52,60193.015,3.0,0.0,72.0,29.0,18.0,-0.0,-0.02,-0.01,-0.0,-17.05,0.0,-16.27,0.0,60275.51,60220.44,0.02521,18.23066568488213,19.01066568488213,2.1,1.6380000000000001,-0.1794726201205908,0.0,-17.05,-16.27,18.23,19.01,0.6,0.3,20.204412552260656,0.002857177166160555,0.9950189765864813,0.9200061298044441
ZTF23aberpzw,60203.23,-14.84,1.82,60200.25,60201.740000000005,3.0,8.0,24.0,12.0,11.0,-0.0,-0.0,-0.03,-0.03,-16.66,0.0,-16.53,0.0,60228.23,60225.25,0.0232,18.43697764148494,18.56697764148494,,,-0.4710862462213817,0.0,-16.66,-16.53,18.44,18.57,0.9,,24.288368971020393,0.07470419628862841,0.9920970851998273,0.9988743657507562
ZTF23abhruov,60215.43,-14.15,1.29,60205.45,60210.44,10.0,0.0,0.0,2.0,20.0,-0.0,-0.02,-0.02,,-15.44,0.0,-14.52,0.0,60215.43,60224.42,0.01769,19.059180534086828,19.979180534086826,2.29,1.7862,0.6131348835814101,1.91,-17.08,-16.78,17.42,17.72,0.6,,21.69398207047769,0.009094613211524542,0.9686783133305635,0.9602011308683032
ZTF23abhyroo,60221.48,-16.41,0.84,60216.5,60218.990000000005,5.0,0.0,20.0,25.0,137.0,-0.0,-0.01,-0.02,-0.04,-17.25,0.0,-17.25,0.0,60232.48,60223.41,0.03265,18.604214940890174,18.604214940890174,,,-0.2399774419468372,0.0,-17.25,-17.25,18.6,18.6,0.6,,19.89682265185864,0.0020259421524513005,0.9885248921233419,0.8427782672280422
ZTF23abhzfww,60220.46,-17.53,0.09,60208.5,60214.48,12.0,0.0,2.0,18.0,32.0,-0.0,-0.01,-0.01,-0.03,-17.62,0.0,-17.68,0.0,60225.5,60220.46,0.02997,18.04392604845862,17.98392604845862,,,-0.3690472887458925,0.0,-17.62,-17.68,18.04,17.98,0.3,,22.583143932538963,0.016312830000863535,0.9967231616818992,0.9951197666312112
ZTF23abiewbt,60223.11,-16.47,0.89,60221.13,60222.12,2.0,0.0,25.0,1.0,39.0,-0.0,-0.05,-0.0,,-17.36,0.0,-16.41,0.0,60242.11,60315.56,0.03272,18.498977750141123,19.448977750141122,,,,0.0,-17.36,-16.41,18.5,19.45,0.0,,22.333324603686336,0.012726993150430936,0.9909238566488738,0.9893098954788726
ZTF23abjwgre,60231.32,-14.93,1.77,60231.22,60231.27,0.0,20.0,82.0,59.0,10.0,-0.0,-0.0,-0.01,-0.02,-16.7,0.0,-16.23,0.0,60297.32,60241.21,0.0226,18.33910379808592,18.809103798085918,,,-0.0929534190015556,0.0,-16.7,-16.23,18.34,18.81,0.3,0.3,20.337210762180906,0.0027337939126816217,0.9936502162336238,0.9219924766884241
ZTF23abkhajf,60232.47,-15.35,1.97,60224.45,60228.46,8.0,30.0,66.0,34.0,52.0,-0.0,-0.0,-0.03,-0.02,-17.32,0.0,-16.32,0.0,60329.51,60317.47,0.02521,17.96066568488213,18.96066568488213,,,0.02812409099184,0.07,-17.38,-16.4,17.9,18.88,1.0,0.4,23.680702572856312,0.05896726521927114,0.9972818044664581,0.9986960696862667
ZTF23abmoxlu,60238.43,-15.73,1.86,60236.47,60237.45,2.0,7.0,8.0,93.0,94.0,-0.0,-0.0,-0.02,-0.05,-17.59,0.0,-17.47,0.0,60250.51,60251.43,0.01481,16.51858534774669,16.63858534774669,,,-0.0013167742503033,0.0,-17.59,-17.47,16.52,16.64,0.6,,21.553884435151396,0.012223114600083242,0.9998940130904065,0.997195301978024
ZTF23abndgbw,60242.18,-15.86,0.82,60239.31,60240.745,3.0,2.0,9.0,8.0,37.0,-0.0,-0.0,-0.01,-0.05,-16.68,0.0,-16.7,0.0,60253.22,60251.18,0.01842,17.908185577614525,17.888185577614525,,,-0.4452690399463433,0.0,-16.68,-16.7,17.91,17.89,0.4,,21.132703372363228,0.006245715060380986,0.9975840182308897,0.9790455274526896
ZTF23abnogui,60244.49,-15.19,0.39,60236.51,60240.5,8.0,0.0,8.0,50.0,60.0,-0.0,-0.0,-0.0,-0.02,-15.58,0.0,-15.54,0.0,60257.49,60249.51,0.00475,16.042592972331484,16.082592972331483,,,-0.3678378660710368,0.0,-15.58,-15.54,16.04,16.08,0.1,,22.130031187402828,0.02391473767470074,0.9999637068486357,0.9991357905428664
ZTF23abonlit,60248.49,-16.44,0.35,60245.5,60246.995,3.0,0.0,5.0,12.0,10.0,-0.0,-0.01,-0.01,-0.03,-16.79,0.0,-16.78,0.0,60261.49,60248.52,0.03099,18.94824131048791,18.958241310487907,,,-0.2805559203889646,0.0,-16.79,-16.78,18.95,18.96,0.3,,21.730827343664068,0.009259366672403117,0.9754315134296332,0.9660698802921277
ZTF23abphqjk,60254.35,-16.88,0.54,60253.36,60253.855,1.0,9.0,8.0,17.0,17.0,-0.0,-0.0,-0.02,-0.06,-17.42,0.0,-17.4,0.0,60269.27,60266.35,0.03099,18.318241310487906,18.33824131048791,,,-0.0480353491239634,0.0,-17.42,-17.4,18.32,18.34,0.6,,23.417742837377517,0.03621525861170514,0.9939398309941371,0.9973895149933831
ZTF23abqwald,60234.52,-16.57,0.15,60233.54,60234.03,1.0,0.0,9.0,13.0,67.0,-0.0,-0.03,-0.01,-0.02,-16.72,0.0,-16.41,0.0,60289.52,60260.49,0.03285,19.14779660135968,19.45779660135968,,,0.0664345908333794,0.21,-16.9,-16.66,18.97,19.21,0.3,0.2,21.10085637070113,0.0053931099670175165,0.9620242449525361,0.9182831344057226
ZTF23absdcgi,60289.31,-16.55,0.18,60287.0,60288.155,2.0,0.0,4.0,14.0,26.0,-0.0,-0.04,-0.0,-0.01,-16.73,0.0,-16.53,0.0,60304.31,60305.25,0.00612,15.445168859200063,15.645168859200062,,,-0.2960956359312173,0.0,-16.73,-16.53,15.45,15.65,0.2,,21.15439711959139,0.005684083128418685,0.9999905455933159,0.998680199155936
ZTF23abvommm,60305.17,-15.35,0.22,60296.27,60300.72,9.0,0.0,0.0,17.0,11.0,-0.02,-0.02,-0.0,-0.02,-15.57,0.0,-15.58,0.0,60307.25,60305.17,0.01648,18.773342037070783,18.763342037070785,,,-0.3835152908097555,0.0,-15.57,-15.58,18.77,18.76,0.1,,24.721276919465197,0.13427034941085045,0.9832953581258305,0.9989896858132333
ZTF24aaabbse,60311.28,-17.37,0.42,60296.46,60303.87,15.0,2.0,4.0,48.0,51.0,-0.0,-0.0,-0.01,-0.03,-17.79,0.0,-17.56,0.0,60330.28,60318.45,0.0232,17.30697764148494,17.536977641484942,,,-0.1274522805273266,0.0,-17.79,-17.56,17.31,17.54,0.3,,20.051135494852204,0.0018344879415813566,0.9993748698324234,0.964629462810125
ZTF24aaarlvj,60308.5,-15.49,1.0,60291.49,60299.995,17.0,0.0,15.0,45.0,7.0,-0.0,-0.01,-0.01,-0.02,-16.49,0.0,-16.18,0.0,60354.5,60311.42,0.03077,19.23241715546244,19.542417155462438,,,-0.2178696718702583,0.0,-16.49,-16.18,19.23,19.54,0.2,0.2,20.685545091662153,0.004325070337108939,0.9544166581030176,0.8651744069154171
